0	5
0	1581
1	1081
1	5
2	1581
3	5
3	1318
4	1581
4	389
4	1470
5	386
5	5
5	366
5	977
5	210
6	1296
6	977
6	5
7	872
8	5
9	1820
9	1470
10	1657
10	1034
10	994
10	5
11	1296
11	5
12	977
13	977
13	5
14	210
14	1581
14	389
15	355
15	1380
15	648
15	625
15	977
15	819
15	1081
15	1470
16	1313
16	5
16	1163
16	1820
16	1470
17	1897
17	658
17	1820
17	1470
18	1296
19	1505
20	1296
20	389
21	5
21	389
21	977
21	116
21	794
22	1296
22	5
23	872
23	977
23	355
23	5
24	977
24	5
24	389
25	5
26	5
27	5
28	5
29	5
29	1820
29	261
30	288
30	1296
30	5
30	537
31	1081
31	196
32	1505
33	1144
33	5
34	1081
35	977
35	1820
35	1509
35	631
36	5
37	5
38	5
39	1081
39	5
40	1081
40	783
41	1505
41	5
42	1505
43	977
43	1841
43	271
44	1820
45	1657
45	5
46	977
46	1820
46	414
47	1296
47	994
48	5
49	1480
49	5
50	872
50	5
51	5
52	994
52	5
53	977
53	1581
54	5
55	1081
55	5
56	1480
56	5
57	1081
57	5
58	1144
59	5
60	5
60	1480
60	1650
60	631
60	1081
60	1470
61	5
62	1296
62	1144
62	5
63	1480
63	1313
63	389
64	1081
64	1820
65	256
65	1081
65	5
66	977
67	1117
68	5
69	5
70	5
71	1944
71	1296
71	5
72	1144
73	1296
74	1480
74	1470
75	1820
76	977
77	1480
78	977
78	5
79	1296
80	1820
80	5
81	333
81	5
82	5
83	1296
83	5
84	5
85	1081
85	5
86	5
87	5
88	5
89	5
90	5
91	366
92	1824
92	1217
92	5
92	977
92	1470
93	1296
93	5
94	1440
94	1650
94	5
95	872
95	5
96	5
97	5
98	5
99	5
100	1144
100	5
101	5
102	1081
102	5
102	414
102	1775
103	1081
104	1081
105	1296
105	5
106	872
106	5
107	1296
108	5
108	1470
109	5
110	5
110	1470
111	1505
111	1470
112	1470
113	1820
114	1820
115	5
116	1296
116	553
116	1820
116	5
117	1820
118	1081
118	5
119	1296
119	5
120	5
121	1296
121	5
122	5
123	1296
123	5
124	5
125	1144
126	5
127	1505
127	382
128	332
128	5
128	389
129	5
129	872
129	1581
129	271
129	471
130	1296
130	5
130	271
131	210
131	5
131	1581
132	5
133	5
134	977
134	389
135	794
135	389
135	271
136	5
137	5
138	1296
138	5
139	1581
140	5
141	1820
142	1144
142	911
143	471
144	1296
144	5
145	1296
145	5
146	241
146	5
146	471
147	1581
148	5
149	1296
149	5
150	5
151	5
152	1820
153	1144
154	1081
155	5
156	5
157	5
158	5
159	1296
160	1296
160	1117
160	1607
161	1296
161	5
162	5
163	1296
163	977
163	5
163	1470
164	1581
165	1144
166	1657
167	5
168	5
169	1296
169	1470
170	1081
171	1296
171	1581
172	5
172	1581
172	271
173	1296
174	5
175	1581
176	1751
176	1581
176	271
176	1296
176	471
176	1916
177	5
178	1440
178	1296
178	1707
178	5
179	1296
180	5
180	1581
180	366
181	1081
181	261
181	1581
181	5
182	5
182	1263
183	1581
183	5
183	1263
184	1296
185	5
186	1539
186	5
186	1581
186	942
186	376
187	355
187	5
187	267
187	1581
187	271
187	977
188	5
189	1296
189	307
189	5
190	1657
190	1117
191	1581
191	5
191	1318
192	307
192	5
193	1505
193	5
194	1296
195	1144
196	5
197	5
198	1581
199	5
200	5
201	5
202	5
202	1581
203	5
204	5
205	5
206	1296
206	5
207	1581
208	1581
209	698
209	5
210	5
211	5
212	5
213	5
214	5
215	5
216	1309
216	5
216	1470
217	1081
217	977
217	1628
217	1581
218	5
219	769
219	5
219	1581
219	389
220	1657
220	5
221	1820
221	1796
221	1581
221	1318
222	5
223	1144
224	5
225	5
226	867
226	5
227	1117
228	5
229	471
230	5
231	5
232	5
233	5
234	5
235	977
235	1820
235	5
236	355
236	1796
236	1110
237	5
238	1117
239	1581
240	5
241	1081
242	1581
243	1581
243	389
244	1296
