1061	26494
1061	31127
1061	31056
1061	22317
1061	3896
1061	28834
1061	9960
1061	24615
1061	14788
1061	11748
1061	17561
1061	4294
1850	19366
1850	23816
1836	9237
377	12037
377	27422
377	11130
1836	10006
377	6749
377	27099
377	20384
377	28773
377	22502
331	19691
331	22561
331	29447
331	28800
784	3757
331	18992
331	21071
331	11174
860	10717
1820	4641
1464	18167
1464	20326
1464	5258
1464	29125
1464	15525
448	5351
448	7438
448	11213
448	5202
448	25048
448	31849
448	2715
448	6388
581	28230
581	11552
581	10756
581	7503
581	18333
581	10717
581	23367
1779	17516
1779	6791
1850	18333
718	20561
718	30681
718	32395
718	16739
718	1720
860	7238
860	23410
860	22293
860	14676
860	10414
1439	19605
950	3841
950	3841
950	31019
1686	18335
1448	19903
1418	14190
1418	17690
1418	14913
1418	15202
1418	5593
1418	15695
1418	31038
1418	4034
448	7747
448	24670
448	18854
718	11938
718	6214
906	26488
1422	20657
1422	10463
784	32145
448	13506
448	20279
448	31033
448	29099
448	17303
448	10337
448	32327
1654	11939
1654	6726
1654	31650
1654	21784
1654	31307
1654	8504
1654	8749
1654	5748
1654	16727
1654	3517
61	19171
61	11551
61	8504
61	23977
61	3517
193	17642
601	13646
601	18975
718	20561
718	30681
718	32395
718	16739
718	1720
860	7238
860	23410
860	22293
860	14676
860	10414
1439	19605
950	3841
950	3841
950	31019
1686	18335
1448	19903
1418	14190
1418	17690
1418	14913
1418	15202
1418	5593
1418	15695
1418	31038
1418	4034
448	7747
448	24670
448	18854
718	11938
718	6214
906	26488
1422	20657
1422	10463
784	32145
448	13506
448	20279
448	31033
448	29099
448	17303
448	10337
448	32327
1654	11939
1654	6726
1654	31650
1654	21784
1654	31307
1654	8504
1654	8749
1654	5748
1654	16727
1654	3517
61	19171
61	11551
61	8504
61	23977
61	3517
193	17642
601	13646
601	18975
718	20561
718	30681
718	32395
718	16739
718	1720
860	7238
860	23410
860	22293
860	14676
860	10414
1439	19605
950	3841
950	3841
950	31019
1686	18335
1448	19903
1418	14190
1418	17690
1418	14913
1418	15202
1418	5593
1418	15695
1418	31038
1418	4034
448	7747
448	24670
448	18854
718	11938
718	6214
906	26488
1422	20657
1422	10463
784	32145
448	13506
448	20279
448	31033
448	29099
448	17303
448	10337
448	32327
1654	11939
1654	6726
1654	31650
1654	21784
1654	31307
1654	8504
1654	8749
1654	5748
1654	16727
1654	3517
61	19171
61	11551
61	8504
61	23977
61	3517
193	17642
601	13646
601	18975
718	20561
718	30681
718	32395
718	16739
718	1720
860	7238
860	23410
860	22293
860	14676
860	10414
1439	19605
950	3841
950	3841
950	31019
1686	18335
1448	19903
1418	14190
1418	17690
1418	14913
1418	15202
1418	5593
1418	15695
1418	31038
1418	4034
448	7747
448	24670
448	18854
718	11938
718	6214
906	26488
1422	20657
1422	10463
784	32145
448	13506
448	20279
448	31033
448	29099
448	17303
448	10337
448	32327
1654	11939
1654	6726
1654	31650
1654	21784
1654	31307
1654	8504
1654	8749
1654	5748
1654	16727
1654	3517
61	19171
61	11551
61	8504
61	23977
61	3517
193	17642
601	13646
601	18975
718	20561
718	30681
718	32395
718	16739
718	1720
860	7238
860	23410
860	22293
860	14676
860	10414
1439	19605
950	3841
950	3841
950	31019
1686	18335
1448	19903
1418	14190
1418	17690
1418	14913
1418	15202
1418	5593
1418	15695
1418	31038
1418	4034
448	7747
448	24670
448	18854
718	11938
718	6214
906	26488
1422	20657
1422	10463
784	32145
448	13506
448	20279
448	31033
448	29099
448	17303
448	10337
448	32327
1654	11939
1654	6726
1654	31650
1654	21784
1654	31307
1654	8504
1654	8749
1654	5748
1654	16727
1654	3517
61	19171
61	11551
61	8504
61	23977
61	3517
193	17642
601	13646
601	18975
1384	12232
1384	21412
1703	27919
1703	25520
1703	14815
1703	13243
1703	2950
1703	11930
1703	24058
1703	13782
448	8492
1686	5615
1686	11117
1384	21412
827	23816
448	29404
61	23590
331	19691
331	3112
61	23590
1423	7238
1836	9349
1836	23211
1836	3841
1836	6749
1836	32081
1836	21697
1836	25625
1836	6138
1836	4645
1836	29422
1836	11512
1836	24503
1836	23377
1836	29588
1836	3856
1836	4587
1836	21587
377	3076
377	12317
377	13687
1384	9279
1384	615
1384	8911
1703	13243
1703	25780
1703	24058
448	25811
1820	4641
331	20305
331	22745
331	20203
331	26928
331	8058
331	29257
331	27601
331	20811
331	9023
331	6322
1773	16534
1773	29707
1773	20561
1773	631
1773	21544
1773	4384
1773	1717
1773	19120
1773	32045
1773	13105
1773	31761
1773	18091
860	6161
860	7566
860	25186
860	12430
860	11688
860	812
860	31367
860	27782
860	27062
860	28256
860	2005
1399	6799
1728	18799
1728	6328
1399	6799
1686	12037
1686	5615
1686	24133
1686	2595
1686	9638
1686	30688
1686	29268
1686	2340
784	32145
767	15818
906	28129
367	15715
1703	14839
1703	9881
1703	6536
1703	27919
1703	25520
1703	14815
1703	5122
1703	13243
1703	2950
1703	11930
1703	8718
1703	30919
1703	22007
1703	24058
1703	3951
1703	20142
1703	15891
1703	13782
1703	29664
1703	24985
1703	6818
1703	14103
1703	2163
1703	19267
448	18447
448	8492
448	20000
970	830
827	2973
827	20349
827	8504
827	20892
827	6323
827	27915
970	830
1056	3949
1056	16922
331	23735
784	32145
784	1013
784	18792
288	21497
288	29880
288	20516
288	4648
288	22529
288	20516
464	7389
464	29707
464	17399
464	23755
464	22648
464	11630
1711	2932
767	3500
767	5289
767	3477
767	12949
767	6624
80	27397
367	2220
2003	32451
1867	15564
1867	3435
1867	31431
1867	27186
1867	10797
1867	30261
1867	32564
1867	17594
331	18992
331	20745
331	29406
719	7324
719	13525
358	29790
297	11046
297	6410
448	18447
448	8492
448	20000
970	830
827	2973
827	20349
827	8504
827	20892
827	6323
827	27915
970	830
1056	3949
1056	16922
331	23735
784	32145
784	1013
784	18792
288	21497
288	29880
288	20516
288	4648
288	22529
288	20516
464	7389
464	29707
464	17399
464	23755
464	22648
